SDSSJ110643.9; SDSSJ110643.99+494152.0; Equatorial; J2000; 11:06:43.99; +49:41:52.0; LSRK; Redshift; 1.6697; N;
SDSSJ112934.8; SDSSJ112934.85+481147.3; Equatorial; J2000; 11:29:34.85; +48:11:47.3; LSRK; Redshift; 1.6810; N;
SDSSJ113653.0; LoTSS/FIRST bright; Equatorial; J2000; 11:36:53.01; +48:28:12.8; LSRK; Redshift; 1.6549; N;
SDSSJ145844.8; SDSSJ145844.83+492439.7; Equatorial; J2000; 14:58:44.83; +49:24:39.7; LSRK; Redshift; 1.7134; N;
SDSSJ115729.7; LoTSS/FIRST bright; Equatorial; J2000; 11:57:29.71; +49:59:40.3; LSRK; Redshift; 1.7004; N;
SDSSJ120554.8; SDSSJ120554.84+494236.3; Equatorial; J2000; 12:05:54.84; +49:42:36.3; LSRK; Redshift; 1.6660; N;
SDSSJ134844.9; SDSSJ134844.91+491330.8; Equatorial; J2000; 13:48:44.91; +49:13:30.8; LSRK; Redshift; 1.6518; N;
SDSSJ082233.6; SDSSJ082233.63+501712.3; Equatorial; J2000; 08:22:33.63; +50:17:12.3; LSRK; Redshift; 1.7349; N;
SDSSJ082846.0; SDSSJ082846.01+490938.4; Equatorial; J2000; 08:28:46.01; +49:09:38.4; LSRK; Redshift; 1.7473; N;
SDSSJ140952.1; LoTSS/FIRST bright; Equatorial; J2000; 14:09:52.13; +49:09:01.9; LSRK; Redshift; 1.7294; N;
SDSSJ083649.5; SDSSJ083649.56+484154.1; Equatorial; J2000; 08:36:49.56; +48:41:54.1; LSRK; Redshift; 1.7108; N;
SDSSJ141556.6; LoTSS/FIRST bright; Equatorial; J2000; 14:15:56.63; +48:44:29.4; LSRK; Redshift; 1.7126; N;
SDSSJ162732.8; SDSSJ162732.88+482836.9; Equatorial; J2000; 16:27:32.88; +48:28:36.9; LSRK; Redshift; 1.6732; N;
SDSSJ090304.6; SDSSJ090304.61+480336.5; Equatorial; J2000; 09:03:04.61; +48:03:36.5; LSRK; Redshift; 1.7358; N;
SDSSJ091003.6; SDSSJ091003.60+501320.1; Equatorial; J2000; 09:10:03.60; +50:13:20.1; LSRK; Redshift; 1.6591; N;
SDSSJ155402.5; SDSSJ155402.58+482951.0; Equatorial; J2000; 15:54:02.58; +48:29:51.0; LSRK; Redshift; 1.7423; N;
SDSSJ155237.6; SDSSJ155237.65+481135.0; Equatorial; J2000; 15:52:37.65; +48:11:35.0; LSRK; Redshift; 1.7397; N;
