name,redshift_1,RAx,DECx,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLG
SDSSJ003633.69+005020.7,2.162428,9.140374999999997,0.8390833333333344,1048576,0,0
SDSSJ003922.77-004409.9,2.168115,9.844875,-0.7360833333333322,1048580,0,1
SDSSJ003135.57+003421.2,2.240468,7.898208333333333,0.5725555555555564,0,0,0
SDSSJ003416.61+002241.1,1.631093,8.569208333333332,0.3780833333333343,1179652,0,1
SDSSJ003521.61+001940.9,2.356576,8.840041666666663,0.32802777777777886,0,0,0
SDSSJ003637.19+010314.4,2.284069,9.154958333333328,1.0540000000000012,34603008,0,0
SDSSJ003551.98+005726.4,1.912578,8.966583333333334,0.9573333333333343,4,0,1
SDSSJ005135.28-010709.1,1.570696,12.896999999999998,-1.119194444444443,1048580,0,1
SDSSJ004856.34+005648.1,2.323672,12.234749999999996,0.9466944444444457,4,0,1
SDSSJ005009.11+005255.2,2.351336,12.537958333333332,0.882000000000001,,,
SDSSJ020356.90+011202.4,1.577067,30.987083333333338,1.200666666666668,,,
SDSSJ022943.90-003458.0,2.143553,37.432916666666664,-0.5827777777777766,,,
SDSSJ022823.25-002628.2,2.356592,37.09687499999999,-0.44116666666666543,34603008,0,0
SDSSJ022716.72-001317.1,1.977293,36.81966666666666,-0.22141666666666543,1048576,0,0
SDSSJ022723.99-010623.4,2.166785,36.84995833333333,-1.1064999999999987,4,0,1
SDSSJ022800.64+002711.6,2.396395,37.00266666666667,0.45322222222222336,1048576,0,0
SDSSJ023259.60+004801.7,2.249209,38.24833333333334,0.8004722222222234,,,
SDSSJ023252.80-001351.1,2.027407,38.22,-0.23086111111110985,1048580,0,1
SDSSJ022954.42-005622.5,2.31481,37.47675000000002,-0.9395833333333321,0,0,0
SDSSJ022349.24+004727.8,2.344512,35.95516666666667,0.7910555555555568,0,0,0
SDSSJ022729.10+001448.1,2.210903,36.871249999999996,0.2466944444444456,33554432,0,0
SDSSJ014036.47+000335.8,1.634907,25.15195833333333,0.0599444444444457,0,0,0
