,Dec,Name,Proj1,Proj2,RA
0,-0.336744,SDSSJ095004.94-002012.2,6.798706,-21.207592,147.520612
1,-0.583571,SDSSJ095938.28-003500.8,31.289967,-5.5154624,149.909527
2,-0.790145,SDSSJ101033.44-004724.5,49.77971,-54.083607,152.639355
3,0.34429099999999996,SDSSJ101100.92+002039.4,-40.36,28.2178,152.753859
4,-0.16420099999999999,SDSSJ101826.85-000951.1,16.415476,58.854935,154.61191100000002
5,-0.5630689999999999,SDSSJ101651.73-003347.0,37.62656,-63.411293,154.215577
6,-0.928881,SDSSJ102542.36-005543.9,-24.56195,-2.9329474,156.42651
7,-0.681142,SDSSJ102258.15-004052.1,-41.536022,54.542618,155.74231
8,-0.578448,SDSSJ102121.93-003442.4,-31.325836,42.84479,155.341406
9,-0.580968,SDSSJ101843.18-003451.4,53.61115,-28.512604,154.679932
10,0.21944,SDSSJ102329.94+001309.9,-55.326786,-38.667877,155.874789
11,-0.8834040000000001,SDSSJ103437.49-005300.2,-4.374442,46.690563,158.656223
12,-0.285023,SDSSJ104243.12-001706.0,-5.047287,11.784561,160.679706
13,-0.6256470000000001,SDSSJ103421.22-003732.3,-6.4868846,30.192173,158.58842099999998
14,0.469243,SDSSJ103744.44+002809.2,33.262352,-57.496426,159.435201
15,-1.003801,SDSSJ104913.35-010013.6,-32.240532,-56.520935,162.305657
16,-0.963066,SDSSJ104828.81-005747.0,-5.674828,51.962795,162.120046
17,0.8483780000000001,SDSSJ104400.65+005054.1,29.079443,-28.196922,161.00274299999998
18,1.017676,SDSSJ104728.94+010103.6,16.844133,10.701115,161.87059
19,-0.313258,SDSSJ105843.42-001847.7,22.03066,-54.33056,164.680936
20,-0.467884,SDSSJ105338.37-002804.3,-42.910603,13.031898,163.409895
21,0.9863790000000001,SDSSJ104948.31+005910.9,37.648754,50.54551,162.451299
22,0.541673,SDSSJ104852.52+003230.0,-38.07025,39.441643,162.218859
23,0.7602800000000001,SDSSJ105331.63+004537.0,10.055932,-7.4419136,163.381813
24,0.96645,SDSSJ105520.00+005759.2,-71.77179,-20.825123,163.833339
25,-0.850756,SDSSJ110344.80-005102.7,-24.93742,-3.2284584,165.936699
26,-0.11828499999999999,SDSSJ110326.49-000705.8,10.490175,50.75836,165.860386
27,-0.989482,SDSSJ110107.63-005922.1,42.26023,-4.418566,165.281815
28,-1.167547,SDSSJ105849.80-011003.1,22.75478,4.343413,164.707503
29,0.779917,SDSSJ105954.00+004647.7,31.571184,-5.755335,164.975007
30,0.9021540000000001,SDSSJ110004.28+005407.7,39.253845,-14.740377,165.017866
31,0.368838,SDSSJ110603.41+002207.8,-6.9000273,35.365417,166.514243
32,-0.850434,SDSSJ111225.72-005101.5,55.75285,-30.816801,168.107204
33,-0.8818360000000001,SDSSJ111040.20-005254.6,13.365028,18.155193,167.66753799999998
34,-0.926041,SDSSJ110838.76-005533.7,-16.220959,-52.23005,167.161524
35,-0.98003,SDSSJ110533.17-005848.1,-42.20577,52.679413,166.388229
36,0.564963,SDSSJ110725.70+003353.8,47.60887,-43.77293,166.857107
37,0.017039,SDSSJ112542.29+000101.3,-46.113247,-62.871014,171.426247
38,0.262875,SDSSJ112413.93+001546.3,-53.74965,63.281776,171.058061
39,-0.49110699999999996,SDSSJ113225.20-002927.9,-36.269497,45.951126,173.105021
40,-0.27989400000000003,SDSSJ112506.96-001647.6,30.259571,-58.10743,171.27900400000001
41,-0.13336099999999998,SDSSJ112506.75-000800.0,14.205649,-53.35499,171.278142
42,-0.347505,SDSSJ112416.84-002051.0,-68.56388,-13.479383,171.070176
43,-0.6730510000000001,SDSSJ113039.10-004022.9,-19.757608,10.001884,172.66291999999999
44,-0.763154,SDSSJ113027.20-004547.3,-25.490694,-50.128777,172.613346
45,-0.685884,SDSSJ121005.08-004109.1,-32.14462,-30.85405,182.521199
46,-0.849137,SDSSJ120550.55-005056.8,-68.99345,-14.940862,181.46066299999998
47,-0.534326,SDSSJ115940.79-003203.5,-31.527636,56.12487,179.919964
48,-0.132497,SDSSJ121245.84-000756.9,-49.651474,22.963253,183.191022
49,0.074055,SDSSJ121224.81+000426.5,-40.68988,60.06393,183.103395
50,0.237589,SDSSJ121655.39+001415.3,-42.55134,38.04118,184.230804
51,0.210249,SDSSJ121803.27+001236.8,48.42788,16.401089,184.51366299999998
52,-0.12015899999999999,SDSSJ122447.64-000712.5,19.328743,45.840527,186.198526
53,-0.194964,SDSSJ122144.62-001141.8,43.36727,13.88272,185.43595
54,0.074352,SDSSJ122039.45+000427.6,11.535998,-7.1582985,185.164377
55,0.010098000000000001,SDSSJ122616.38+000036.3,-15.891687,16.326584,186.568278
56,0.45533999999999997,SDSSJ123136.43+002719.2,-66.486885,38.574974,187.901797
57,0.592852,SDSSJ123146.45+003534.2,-2.3885043,-52.6864,187.943575
58,-0.9918969999999999,SDSSJ123856.10-005930.8,-41.980293,-27.460127,189.733755
59,-0.47460399999999997,SDSSJ123757.61-002828.5,-35.455875,-33.355755,189.490082
60,-0.50621,SDSSJ123505.91-003022.3,-58.694344,18.917084,188.774659
61,-0.5261170000000001,SDSSJ123337.83-003134.0,-49.352856,8.028369,188.40764099999998
62,1.147051,SDSSJ123401.04+010849.3,-53.093906,57.10841,188.504358
63,1.104309,SDSSJ123724.52+010615.5,36.42383,2.0432584,189.352169
64,0.8581469999999999,SDSSJ124010.75+005129.3,74.9804,16.12457,190.044829
65,-0.968724,SDSSJ125056.71-005807.4,33.092476,-51.0398,192.73631899999998
66,-0.9477899999999999,SDSSJ124604.49-005652.0,82.799866,-6.301033,191.518742
67,-0.795041,SDSSJ124532.36-004742.1,43.628166,1.9002671,191.384859
68,0.633922,SDSSJ124530.61+003802.1,59.736065,2.9306853,191.377549
69,0.15070899999999998,SDSSJ124559.16+000902.5,-45.394287,-51.8958,191.496534
70,0.35347399999999995,SDSSJ124508.12+002112.5,-42.586525,39.40685,191.28384499999999
71,1.006349,SDSSJ124717.21+010022.8,-42.812958,12.528059,191.82171100000002
72,0.8889389999999999,SDSSJ125243.86+005320.1,52.457485,-16.439701,193.182752
73,-0.710263,SDSSJ130813.24-004236.9,34.835377,17.352987,197.05518899999998
74,-0.08242100000000001,SDSSJ130801.35-000456.7,33.83473,22.595697,197.005666
75,0.290281,SDSSJ130755.23+001725.0,-46.46556,12.543966,196.980131
76,1.0658860000000001,SDSSJ130856.94+010357.1,-32.27813,-40.810425,197.23726499999998
77,-0.363149,SDSSJ133844.92-002147.3,28.085814,-64.0324,204.687171
78,-1.002783,SDSSJ134019.63-010010.0,15.812432,34.154613,205.081817
79,0.45510900000000004,SDSSJ133856.84+002718.3,-5.9656563,41.688732,204.736865
80,0.252117,SDSSJ134031.36+001507.6,-7.0443068,-65.343735,205.130704
81,0.996859,SDSSJ134154.22+005948.6,52.65408,42.96451,205.475943
82,0.889915,SDSSJ141302.72+005323.6,33.27981,40.395397,213.26136200000002
83,0.092805,SDSSJ141519.56+000534.0,-8.236505,4.879806,213.831507
84,0.263989,SDSSJ141929.16+001550.3,-33.197716,-4.929853,214.871511
85,-0.7311489999999999,SDSSJ142614.71-004352.1,-19.08733,55.339592,216.561302
86,0.577807,SDSSJ143030.97+003440.1,5.4423895,-49.93712,217.62906600000002
87,0.123655,SDSSJ143108.98+000725.1,-29.123667,38.00895,217.78745099999998
88,-0.272938,SDSSJ144144.70-001622.5,25.194324,14.851815,220.43626099999997
89,-0.287489,SDSSJ144544.61-001714.9,-3.3732343,68.9297,221.43590600000002
90,0.211232,SDSSJ145000.58+001240.4,14.558172,0.33832854,222.50242799999998
91,0.028983999999999996,SDSSJ145049.93+000144.3,-27.019472,-56.900284,222.70806000000002
92,-0.636712,SDSSJ151841.33-003812.1,77.94971,-22.120312,229.672243
93,-0.244114,SDSSJ151656.59-001438.8,46.937798,-13.91467,229.23582400000004
94,0.377404,SDSSJ151513.08+002238.6,-26.096407,67.2237,228.80452999999997
95,0.051361000000000004,SDSSJ151551.61+000304.8,-51.75105,-32.128277,228.965082
96,0.7582,SDSSJ151515.47+004529.5,28.215784,-52.14623,228.814492
97,0.28128600000000004,SDSSJ151729.70+001652.6,-62.954567,24.876299,229.373777
98,-0.550697,SDSSJ152816.43-003302.5,30.527533,-54.805897,232.06846099999999
99,0.547806,SDSSJ152440.11+003252.1,-11.333652,-15.506554,231.16713399999998
100,0.42549799999999993,SDSSJ152828.33+002531.7,63.659912,26.248655,232.118082
101,0.366115,SDSSJ152816.50+002158.0,6.898452,14.909284,232.068771
102,-0.349547,SDSSJ154214.58-002058.3,3.9264255,-13.88684,235.560766
103,0.284364,SDSSJ154234.33+001703.7,-0.38174295,28.212704,235.64307599999998
104,0.22849899999999998,SDSSJ154245.20+001342.5,-47.844296,-54.900917,235.688338
105,-3.607828,SDSSJ112936.07-033628.1,-3.5484104,69.55717,172.400324
106,-3.2635240000000003,SDSSJ112325.94-031548.6,9.368132,-37.71186,170.858104
107,-3.314282,SDSSJ112356.87-031851.4,-3.0145965,58.438034,170.986986
108,-1.284289,SDSSJ112537.27-011703.4,-33.267967,-43.241096,171.405304
109,-1.8438189999999999,SDSSJ112617.33-015037.7,57.329742,18.309082,171.572241
