 09 50 04.95,-00 20 12.3, 0.00002
 09 59 38.29,-00 35 00.9,-0.00021
 10 10 33.45,-00 47 24.5,-0.00014
 10 11 00.93,+00 20 39.4, 0.00042
 10 18 26.86,-00 09 51.1, 0.00080
 10 16 51.74,-00 33 47.0, 0.12425
 10 25 42.36,-00 55 44.0, 0.00041
 10 22 58.15,-00 40 52.1, 0.00059
 10 21 21.94,-00 34 42.4, 0.00036
 10 18 43.18,-00 34 51.5, 0.00051
 10 23 29.95,+00 13 10.0, 0.00016
 10 34 37.49,-00 53 00.3, 0.00157
 10 42 43.13,-00 17 06.1,-0.00053
 10 34 21.22,-00 37 32.3,-0.00034
 10 37 44.45,+00 28 09.3,-0.00020
 10 49 13.36,-01 00 13.7, 0.00058
 10 48 28.81,-00 57 47.0, 0.00021
 10 44 00.66,+00 50 54.2,-0.00013
 10 47 28.94,+01 01 03.6, 0.00033
 10 58 43.42,-00 18 47.7, 0.00019
 10 53 38.37,-00 28 04.4, 0.00017
 10 49 48.31,+00 59 11.0,-0.00057
 10 48 52.53,+00 32 30.0, 0.00024
 10 53 31.64,+00 45 37.0, 0.00057
 10 55 20.00,+00 57 59.2, 0.00090
 11 03 44.81,-00 51 02.7,-0.00022
 11 03 26.49,-00 07 05.8, 0.00114
 11 01 07.64,-00 59 22.1, 0.00006
 10 58 49.80,-01 10 03.2, 0.00048
 10 59 54.00,+00 46 47.7,-0.00035
 11 00 04.29,+00 54 07.8, 0.00118
 11 06 03.42,+00 22 07.8, 0.00124
 11 12 25.73,-00 51 01.6, 0.00009
 11 10 40.21,-00 52 54.6, 0.00065
 11 08 38.77,-00 55 33.7, 0.00019
 11 05 33.17,-00 58 48.1, 0.00033
 11 07 25.71,+00 33 53.9,-0.00033
 11 25 42.30,+00 01 01.3, 0.02854
 11 24 13.93,+00 15 46.4, 0.00070
 11 32 25.21,-00 29 28.0,-0.00101
 11 25 06.96,-00 16 47.6, 0.06715
 11 25 06.75,-00 08 00.1, 0.00070
 11 24 16.84,-00 20 51.0, 0.00011
 11 30 39.10,-00 40 23.0, 0.00200
 11 30 27.20,-00 45 47.4,-0.00038
 12 10 05.09,-00 41 09.2, 0.00025
 12 05 50.56,-00 50 56.9, 0.00036
 11 59 40.79,-00 32 03.6, 0.00995
 12 12 45.85,-00 07 57.0, 0.00057
 12 12 24.81,+00 04 26.6,-0.00013
 12 16 55.39,+00 14 15.3, 0.00043
 12 18 03.28,+00 12 36.9, 0.00008
 12 24 47.65,-00 07 12.6, 0.00094
 12 21 44.63,-00 11 41.9, 0.00094
 12 20 39.45,+00 04 27.7, 0.00117
 12 26 16.39,+00 00 36.4,-0.00025
 12 31 36.43,+00 27 19.2,-0.00003
 12 31 46.46,+00 35 34.3,-0.00019
 12 38 56.10,-00 59 30.8, 0.01477
 12 37 57.62,-00 28 28.6, 0.00059
 12 35 05.92,-00 30 22.4, 0.00012
 12 33 37.83,-00 31 34.0,-0.00042
 12 34 01.05,+01 08 49.4,-0.00010
 12 37 24.52,+01 06 15.5,-0.00035
 12 40 10.76,+00 51 29.3,-0.00067
 12 50 56.72,-00 58 07.4, 0.00024
 12 46 04.50,-00 56 52.0,-0.00060
 12 45 32.37,-00 47 42.1, 0.00009
 12 45 30.61,+00 38 02.1,-0.00049
 12 45 59.17,+00 09 02.6,-0.00019
 12 45 08.12,+00 21 12.5, 0.00044
 12 47 17.21,+01 00 22.9,-0.00083
 12 52 43.86,+00 53 20.2, 0.01307
 13 08 13.25,-00 42 36.9,-0.00037
 13 08 01.36,-00 04 56.7,-0.00047
 13 07 55.23,+00 17 25.0,-0.00042
 13 08 56.94,+01 03 57.2,-0.00108
 13 38 44.92,-00 21 47.3,-0.00011
 13 40 19.64,-01 00 10.0, 0.00012
 13 38 56.85,+00 27 18.4, 0.00009
 13 40 31.37,+00 15 07.6, 0.04092
 13 41 54.23,+00 59 48.7, 0.00074
 14 13 02.73,+00 53 23.7, 0.00002
 14 15 19.56,+00 05 34.1,-0.00010
 14 19 29.16,+00 15 50.4,-0.00064
 14 26 14.71,-00 43 52.1,-0.00077
 14 30 30.98,+00 34 40.1,-0.00014
 14 31 08.99,+00 07 25.2, 0.01052
 14 41 44.70,-00 16 22.6,-0.00064
 14 45 44.62,-00 17 15.0, 0.00003
 14 50 00.58,+00 12 40.4, 0.00043
 14 50 49.93,+00 01 44.3, 0.00977
 15 18 41.34,-00 38 12.2, 0.00054
 15 16 56.60,-00 14 38.8, 0.00043
 15 15 13.09,+00 22 38.7,-0.00022
 15 15 51.62,+00 03 04.9,-0.00070
 15 15 15.48,+00 45 29.5, 0.00256
 15 17 29.71,+00 16 52.6, 0.00002
 15 28 16.43,-00 33 02.5,-0.00006
 15 24 40.11,+00 32 52.1, 0.00009
 15 28 28.34,+00 25 31.8,-0.00019
 15 28 16.51,+00 21 58.0,-0.00059
 15 42 14.58,-00 20 58.4, 0.00075
 15 42 34.34,+00 17 03.7, 0.00046
 15 42 45.20,+00 13 42.6, 0.00077
 11 29 36.08,-03 36 28.2, 0.00015
 11 23 25.94,-03 15 48.7, 0.01729
 11 23 56.88,-03 18 51.4, 0.00062
 11 25 37.27,-01 17 03.4,-0.00025
 11 26 17.34,-01 50 37.7,-0.00102
 11 37 15.32,-02 54 35.6, 0.00056
 11 34 34.52,-03 37 26.5, 0.00759
 11 31 59.27,-02 11 01.3,-0.00006
 11 35 48.67,-02 26 17.9, 0.00034
 11 38 48.24,-02 20 46.6,-0.00027
 11 39 10.92,-01 42 30.2, 0.00085
 11 42 25.71,-01 34 16.0,-0.00003
 11 42 09.88,-01 56 25.2, 0.00086
 11 55 03.29,-03 01 27.7, 0.00011
 11 54 17.99,-02 46 37.9,-0.00075
 11 51 04.26,-02 04 50.1, 0.00021
 11 57 27.05,-02 52 36.5,-0.00019
 11 58 51.19,-01 54 42.6, 0.00147
 11 59 16.40,-01 45 52.5,-0.00051
 12 03 31.10,-01 41 11.6, 0.00781
 12 03 35.35,-01 54 13.3,-0.00046
 12 05 08.03,-01 34 24.6,-0.00010
 12 12 22.60,-02 40 45.9,-0.00023
 12 12 25.57,-01 57 15.9, 0.00003
 12 17 17.82,-02 47 53.8,-0.00066
 12 14 15.61,-02 54 10.4, 0.00084
 12 14 53.21,-02 29 11.0, 0.03297
 12 28 36.92,-03 04 39.3, 0.13035
 12 22 32.17,-02 16 48.9, 0.00044
 12 36 02.34,-03 31 30.0,-0.00069
 12 35 58.55,-02 35 03.3,-0.00004
 12 36 43.12,-02 04 21.0,-0.00080
 12 40 12.10,-02 56 25.8, 0.00025
 12 46 07.10,-02 09 51.3, 0.00003
 12 52 09.26,-03 23 49.9,-0.00037
 12 49 49.09,-01 34 10.2,-0.00036
 12 53 34.77,-01 58 37.8,-0.00024
 13 00 59.52,-03 25 33.2, 0.00047
 12 56 38.39,-01 16 21.6,-0.00016
 12 59 23.51,-01 32 35.0,-0.00025
 13 01 53.78,-01 14 10.9, 0.00069
 13 08 42.18,-02 58 20.0, 0.00038
 13 06 55.35,-03 09 40.1,-0.00000
 13 05 54.09,-02 48 15.9,-0.00001
 13 06 31.18,-03 09 53.9,-0.00056
 13 05 54.10,-02 46 57.4,-0.00012
 13 01 38.55,-02 15 47.6,-0.00030
 13 22 35.40,-03 07 54.4,-0.00070
 13 21 39.32,-03 26 43.8,-0.00113
 13 19 52.38,-02 25 43.3, 0.00047
 13 23 07.11,-02 17 49.7, 0.00053
 15 50 18.76,-00 57 37.3, 0.06102
 15 49 00.46,-00 52 54.9,-0.00057
 16 00 11.34,-00 20 07.0, 0.00022
 15 56 39.20,+00 20 04.7, 0.00023
 15 58 51.86,+00 59 37.9,-0.00044
 16 02 08.68,+00 14 54.7, 0.00016
 16 10 47.61,-00 57 50.8,-0.00029
 16 10 13.76,-00 38 40.6, 0.00009
 16 10 15.01,+01 11 24.9, 0.00155
 16 12 11.68,+01 04 35.3,-0.00031
 16 18 37.14,-00 56 42.2, 0.00046
 16 15 31.17,+01 02 14.3, 0.00059
 16 17 17.84,+00 28 27.3, 0.00067
 16 18 36.02,+00 10 28.4, 0.09934
 16 18 19.38,+01 06 58.9, 0.00907
 17 00 17.86,+63 19 23.1, 0.00003
 16 54 53.24,+62 16 27.6, 0.00014
 16 50 02.50,+62 40 12.9,-0.00033
 16 54 22.86,+63 57 37.7,-0.00027
 17 01 13.93,+63 52 43.1,-0.00031
 17 22 00.13,+64 43 57.4, 0.00123
 17 16 53.34,+65 31 36.3, 0.00006
 17 14 59.51,+64 51 24.6,-0.00065
 17 13 07.41,+58 30 46.5, 0.00030
 17 07 00.47,+59 10 41.3,-0.00014
