Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation
SDSSJ095004.94-002012.2,147.520612,-0.336744,095004.94-002012.2,147.52061462402300,-0.3367440104484560,1.7755999565124500,1048580,0,1,-27.635966811890300,0,0,0.0,-26.560171170304000,-1.0,46.38268189235070,46.56515229805330,0.009446396109131680
SDSSJ095938.28-003500.8,149.909527,-0.583571,095938.28-003500.8,149.90953063964800,-0.5835710167884830,1.8766000270843500,1048580,0,1,-26.986036566949400,0,0,0.0,-26.838923550007100,-1.0,46.137212574050700,46.35351921461930,0.013102194145988900
SDSSJ101033.44-004724.5,152.639355,-0.790145,101033.44-004724.5,152.6393585205080,-0.7901449799537660,1.6675000190734900,4,0,1,-27.53981053366980,1,0,0.0,-26.595547977170700,-1.0,46.32011501358540,46.39035209734220,0.01267282854534410
SDSSJ101100.92+002039.4,152.753859,0.344291,101100.92+002039.4,152.7538604736330,0.34429100155830400,1.7487000226974500,1048580,0,1,-26.907112175773200,0,0,0.0,-26.916639538005900,-1.0,46.00136229710810,46.24506163964450,0.0053049853156274500
SDSSJ101826.85-000951.1,154.611911,-0.164201,101826.85-000951.1,154.61190795898400,-0.16420100629329700,1.815600037574770,4,0,1,-27.17763918180390,0,0,0.0,-26.88615403418690,-1.0,46.07070636781870,46.27016907853350,0.010947634756850100
SDSSJ101651.73-003347.0,154.215577,-0.563069,101651.73-003347.0,154.215576171875,-0.5630689859390260,1.8281999826431300,3145748,0,1,-26.7888828256509,0,2,126.750283474235,-26.879164300531600,959.650822417187,46.07550347963990,46.32181397999890,0.0029815357413630800
SDSSJ102542.36-005543.9,156.42651,-0.928881,102542.36-005543.9,156.426513671875,-0.9288809895515440,1.7690999507904100,1048580,0,1,-27.50341920820970,0,0,0.0,-26.614286572889500,-1.0,46.32185941817530,46.53354781475140,0.013217066376143500
SDSSJ102258.15-004052.1,155.74231,-0.681142,102258.15-004052.1,155.7423095703130,-0.6811419725418090,1.7562999725341800,4,0,1,-27.022345682816900,0,0,0.0,-26.853504526558700,-1.0,46.08113824489170,46.21874541695910,0.0015499210442415000
SDSSJ102121.93-003442.4,155.341406,-0.578448,102121.93-003442.4,155.34140014648400,-0.5784479975700380,2.0680999755859400,1048580,0,1,-27.344024178735500,0,0,0.0,-26.790020271165500,-1.0,46.27695587386580,46.327581104642500,0.02107158418546610
SDSSJ101843.18-003451.4,154.679932,-0.580968,101843.18-003451.4,154.679931640625,-0.5809680223464970,1.7599999904632600,4,0,1,-27.31636603644830,0,0,0.0,-26.72656454557660,-1.0,46.215368862726800,46.25298252769810,0.0012961823623736200
SDSSJ102329.94+001309.9,155.874789,0.21944,102329.94+001309.9,155.87478637695300,0.21943999826908100,1.8961000442504900,1048580,0,1,-27.781619407184800,0,0,0.0,-26.76935221181580,-1.0,46.217196313374100,46.40892720625040,0.009442901564940070
SDSSJ103437.49-005300.2,158.656223,-0.883404,103437.49-005300.2,158.65621948242200,-0.883404016494751,2.041100025177000,1048580,0,1,-27.3421074946931,0,0,0.0,-26.842584257292400,-1.0,46.19427345914000,46.34857444224390,0.012661915384156100
SDSSJ104243.12-001706.0,160.679706,-0.285023,104243.12-001706.0,160.67970275878900,-0.2850230038166050,1.9672000408172600,1048580,0,1,-27.87172825094440,0,0,0.0,-26.601965154440300,-1.0,46.45094941622440,46.60413472535600,0.011668223090928700
SDSSJ103421.22-003732.3,158.588421,-0.625647,103421.22-003732.3,158.5884246826170,-0.6256470084190370,1.7214000225067100,4,0,1,-26.75043205963830,0,0,0.0,-26.94240165853070,-1.0,45.94300800388680,46.21662365574550,0.013256666079803400
SDSSJ103744.44+002809.2,159.435201,0.469243,103744.44+002809.2,159.43519592285200,0.46924299001693700,1.732699990272520,1048580,0,1,-27.4279152835296,0,0,0.0,-26.565768576723500,-1.0,46.379951052120900,46.4984850576967,0.018277156763490000
SDSSJ104913.35-010013.6,162.305657,-1.003801,104913.35-010013.6,162.3056640625,-1.0038009881973300,1.999899983406070,1048580,0,1,-27.030232522560100,0,0,0.0,-27.029622749295500,-1.0,46.00457701368820,46.11547472826710,0.025421133623230400
SDSSJ104828.81-005747.0,162.120046,-0.963066,104828.81-005747.0,162.1200408935550,-0.9630659818649290,1.7354999780654900,1048580,0,1,-27.357230156081900,0,0,0.0,-26.66106118313870,-1.0,46.23307137597020,46.48536853375130,0.01838072215938720
SDSSJ104400.65+005054.1,161.002743,0.848378,104400.65+005054.1,161.00274658203100,0.8483780026435850,1.712499976158140,4,0,1,-27.149917564942000,0,0,0.0,-26.909914644320800,-1.0,46.01239053707840,46.17007378917630,0.012893902369602000
SDSSJ104728.94+010103.6,161.87059,1.017676,104728.94+010103.6,161.87059020996100,1.0176759958267200,1.7719999551773100,1048580,0,1,-26.392941545503100,0,0,0.0,-27.14971281436390,-1.0,45.72523794407550,46.160281400382400,7.55889451596421E-04
SDSSJ105843.42-001847.7,164.680936,-0.313258,105843.42-001847.7,164.68093872070300,-0.31325799226760900,1.9256999492645300,1048580,0,1,-26.93714639246110,0,0,0.0,-26.925123284299300,-1.0,46.05902536454950,46.326869917364600,0.009794424468465670
SDSSJ105338.37-002804.3,163.409895,-0.467884,105338.37-002804.3,163.40989685058600,-0.46788400411605800,1.8387999534606900,4,0,1,-27.139170975698900,0,0,0.0,-26.837193248370100,-1.0,46.14353470792240,46.362797674070500,0.006661903751981060
SDSSJ104948.31+005910.9,162.451299,0.986379,104948.31+005910.9,162.4512939453130,0.9863790273666380,1.7391999959945700,1048580,0,1,-26.4890842134162,0,0,0.0,-26.992955499889000,-1.0,45.94236331972070,45.98755212580250,0.018194445321165800
SDSSJ104852.52+003230.0,162.218859,0.541673,104852.52+003230.0,162.21885681152300,0.5416730046272280,1.6461999416351300,1048580,0,1,-27.10448330850410,0,0,0.0,-26.761816600528800,-1.0,46.12437649795130,46.21589312668820,0.00787818119895643
