col1,Name,RA_1,Dec_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,_RAJ2000,_DEJ2000,SDSS,RAJ2000,DEJ2000,Plate,MJD,Fiber,z,r_z,DR12,Separation_1a,RAdeg,DEdeg,Speak,e_Speak,Sint,e_Sint,Separation_1b,NVSSff (Jy/beam,RA2000,DEC2000,Separation_1c,z_paul,CIV_blue,CIV_EW,CIV_DIST_FINAL,Separation
2375,SDSSJ104446.00+521742.8,161.191688,52.295243,104446.00+521742.8,161.191680908203,52.2952423095703,1.75129997730255,3.0,1.0,1,-26.4028620175441,0.0,0.0,0.0,-27.1099220284558,-1.0,45.781470608625,46.0340056376364,0.0158108419200754,161.19168111,52.29524194,104446.00+521742.8,161.191681,52.295242,1010,52649,182,1.7513,DR7Q,DR12,0.0158270012173167,,,,,,,,3.9E-04,161.19170833333300,52.295250000000000,0.05137378841603460,1.7505400000000000,87.8893789890148,37.6661213532159,0.5194425293623970,0.05137378841603460
1953,SDSSJ104547.58+551853.8,161.448261,55.314971,104547.58+551853.8,161.448257446289,55.3149719238281,1.88960003852844,1048578.0,1.0,1,-26.8490547888853,0.0,1.0,2.01326764843577,-26.9315425930533,17.1966601226908,46.0705906381624,46.2875554766134,0.0080039268722006,161.44825694,55.31497194,104547.58+551853.8,161.448257,55.314972,906,52368,462,1.8896,DR7Q,DR12,0.008950438170181990,,,,,,,,0.00133,161.44825,55.314972222222200,0.022960498071267900,1.88758,142.521788901092,44.7436709675669,0.4958079600885060,0.022960498071267900
1951,SDSSJ104718.64+541917.8,161.827692,54.32163,104718.64+541917.8,161.827697753906,54.3216285705566,1.82879996299744,3145739.0,1.0,1,-27.5133294206692,0.0,1.0,11.9360040536895,-26.711578597984,61.4380687531815,46.2593944799225,46.4736875735114,0.0131314757612777,161.82769806,54.32162889,104718.64+541917.8,161.827698,54.321629,906,52368,55,1.8288,DR7Q,DR12,0.013102147242487600,,,,,,,,0.01458,161.82770833333300,54.3216388888889,0.046905133034419000,1.83249,832.3073543078960,49.6987126538958,0.5404579454036330,0.046905133034419000
1954,SDSSJ104829.97+550819.0,162.124899,55.138631,104829.97+550819.0,162.124893188477,55.1386299133301,2.06710004806519,1048578.0,1.0,1,-27.1822373490197,0.0,0.0,0.0,-27.0245295658703,-1.0,45.9699387530931,46.2559755492297,0.0125821784543386,162.12489306,55.13863,104829.97+550819.0,162.124893,55.13863,906,52368,518,2.0671,DR7Q,DR12,0.012860547771829300,,,,,,,,2.8E-04,162.1249166666670,55.138638888888900,0.04613157443750370,2.07342,1798.5500560941600,22.5737767681772,0.7722504347546880,0.04613157443750370
2379,SDSSJ104852.00+530747.2,162.216678,53.129779,104852.00+530747.2,162.216674804688,53.1297798156738,1.67920005321503,1048578.0,1.0,1,-26.2072802555165,0.0,0.0,0.0,-27.1705080547093,-1.0,45.7081545296336,45.9324490057077,0.0075006127098461,162.216675,53.12978,104852.00+530747.2,162.216675,53.12978,1010,52649,509,1.6792,DR7Q,DR12,0.007412896230177800,,,,,,,,-6.9E-04,162.21666666666700,53.12977777777780,0.024872463478969200,1.68111,872.211364190491,51.004577500761,0.5397668085556140,0.024872463478969200
8245,SDSSJ104855.21+504845.4,162.230062,50.81263,104855.21+504845.4,162.230056762695,50.812629699707,1.77849996089935,2.0,1.0,1,-26.3474107298508,0.0,0.0,0.0,-27.0534401053507,-1.0,45.9477828908367,45.7070774863328,0.0119621960838492,162.23005694,50.81263,104855.21+504845.4,162.230057,50.81263,876,52669,421,1.7785,DR7Q,DR12,0.011373452367391200,,,,,,,,2.2E-04,162.23004166666700,50.812638888888900,0.05624278392569300,1.7897600000000000,781.663116556727,38.6072427567279,0.5801543565122350,0.05624278392569300
1950,SDSSJ104908.78+542526.8,162.286591,54.424121,104908.78+542526.8,162.286590576172,54.4241218566895,1.7010999917984,1048579.0,1.0,1,-26.8619735529002,0.0,0.0,0.0,-26.9239831208274,-1.0,45.9904782074825,46.216423574093,0.0032092865013639,162.28659111,54.42412194,104908.78+542526.8,162.286591,54.424122,906,52368,9,1.7011,DR7Q,DR12,0.0035999999913344200,,,,,,,,3.3E-04,162.28658333333300,54.424111111111100,0.03905370608301650,1.6979,130.933636277886,76.52191874791910,0.36715078622459500,0.03905370608301650
8243,SDSSJ105002.65+512729.5,162.511057,51.458219,105002.65+512729.5,162.51106262207,51.4582176208496,1.81190001964569,1048579.0,1.0,1,-26.8754711273879,0.0,0.0,0.0,-26.9907290687113,-1.0,45.9943502897527,46.0665897025407,0.0135530631284976,162.51106306,51.45821806,105002.65+512729.5,162.511063,51.458218,876,52669,408,1.8119,DR7Q,DR12,0.013931797467183400,,,,,,,,3.2E-04,162.51104166666700,51.45822222222220,0.03629776650575410,1.81628,1194.3289399207400,53.8506890689464,0.5652474318096950,0.03629776650575410
2207,SDSSJ105031.03+483845.1,162.629298,48.645884,105031.03+483845.1,162.629302978516,48.6458854675293,1.86510002613068,3.0,1.0,1,-28.0066734098021,0.0,0.0,0.0,-26.5155692671848,-1.0,46.4915190358521,46.5320061277977,0.0129667630060269,162.62930306,48.645885,105031.03+483845.1,162.629303,48.645885,963,52643,372,1.8651,DR7Q,DR12,0.012425724011190400,,,,,,,,3.5E-04,162.62929166666700,48.6458888888889,0.023166579129453300,1.869116,1640.39337066386,46.69884344624020,0.6353873185956000,
2380,SDSSJ105053.91+531131.9,162.724626,53.192202,105053.91+531131.9,162.724624633789,53.192203521728500,1.73109996318817,1048579.0,1.0,1,-26.5112182300132,0.0,0.0,0.0,-27.0434832715922,-1.0,45.8664538075003,46.100118620089,0.006220470592116,162.724625,53.19220389,105053.90+531131.9,162.724625,53.192204,1010,52649,548,1.7311,DR7Q,DR12,0.007516123941166380,,,,,,,,1.6E-04,162.724625,53.192194444444400,0.02728538290267600,1.729048,1436.96031445493,54.970029352149100,0.5882878254738580,
