,col1,Name,RA_1_1,Dec_1_1,SDSS_NAME,RA_2,DEC_2,REDSHIFT,TARGET_FLAG_TARGET,UNIFORM_TARGET,COL_FLAG,MI_Z2,BAL_FLAG,FIRST_FR_TYPE,FINT_REST6CM_MJY_OBS,LOGFNU2500A_ERGS_OBS,R_6CM_2500A,LOGL3000,LOGL1350,Separation_1,RA_1_2,Dec_1_2,r_z,Speak,e_Speak,Sint,e_Sint,Separation_1a,RA,DEC,Total_flux,E_Total_flux,Peak_flux,E_Peak_flux,P_sidelobe,Separation
68,2549,SDSSJ151133.07+513500.0,227.887798,51.58334,151133.07+513500.0,227.887802124023,51.5833396911621,1.66540002822876,11.0,1.0,1,-28.1448156568544,0.0,1.0,2.40728537168439,-26.3829704968255,5.81430853248476,46.5067956515364,46.6766796734408,0.0092919995232145,227.887798,51.58334,VI,8.7,0.1,8.9,0.1,0.0,227.8880087704451,51.58341828066853,1.1291325925999998,0.24971331845,0.90926720335,0.11822381684,-1.0,0.5492843913630505
83,7468,SDSSJ161601.73+495634.4,244.007218,49.942899,161601.73+495634.4,244.007217407227,49.9428977966309,1.72259998321533,11.0,1.0,1,-27.4872359364161,0.0,1.0,11.8530108402887,-26.7538259656007,67.2441715121569,46.174377685149,46.2943931843167,0.0045445976932833,,,,,,,,,244.0072713062458,49.94287397747491,10.00805205879,0.20632797118,9.56679639425,0.1152156861799999,-1.0,0.1528614074896178
114,4808,SDSSJ074729.63+492022.7,116.873492,49.339646,074729.63+492022.7,116.873489379883,49.3396453857422,1.71329998970032,10.0,1.0,1,-27.4987745071843,0.0,1.0,61.516590429647295,-26.603771444428,247.037964941186,46.3146170208969,46.5291074608408,0.00653163650585,,,,,,,,,116.87355968274376,49.3396409038745,62.16932277655,0.2411963987099999,60.94638096853001,0.13649698918,-1.0,0.159817559675721
154,3012,SDSSJ145844.83+492439.7,224.686796,49.411041,145844.83+492439.7,224.686798095703,49.4110412597656,1.71340000629425,1048579.0,1.0,1,-26.3668328646258,0.0,0.0,0.0,-27.0860638285382,-1.0,45.8009171101061,46.0845468273725,0.0049969671494778,224.686796,49.411041,DR7Q,,,,,0.0,,,,,,,,
164,1604,SDSSJ152222.02+524743.9,230.59176,52.795547,152222.02+524743.9,230.591766357422,52.7955474853516,1.69420003890991,1048579.0,1.0,1,-26.3978040494464,0.0,0.0,0.0,-27.0914790701232,-1.0,45.7733256026146,46.1606807646145,0.0139485748147166,230.59176,52.795547,DR7Q,,,,,0.0,,,,,,,,
176,8236,SDSSJ105636.40+493156.4,164.151671,49.53235,105636.40+493156.4,164.151672363281,49.5323486328125,1.69910001754761,3.0,1.0,1,-26.2450734730561,0.0,0.0,0.0,-27.1570727885577,-1.0,45.8134696625545,45.6561707798077,0.005862656916468,164.151671,49.53235,DR7Q,,,,,0.0,,,,,,,,
194,8249,SDSSJ105827.99+505700.9,164.616648,50.950271,105827.99+505700.9,164.616653442383,50.9502716064453,1.67330002784729,3.0,1.0,1,-26.4561031475368,0.0,0.0,0.0,-27.0862181009558,-1.0,45.7921268888302,46.0477397140322,0.0125348094530874,164.616648,50.950271,DR7Q,,,,,0.0,,,,,,,,
216,2428,SDSSJ132749.18+525031.1,201.954922,52.841981,132749.18+525031.1,201.954925537109,52.8419799804688,1.730299949646,1048578.0,1.0,1,-26.8768217006611,0.0,0.0,0.0,-26.8677745390905,-1.0,46.0220953789243,46.2924132310122,0.0085221518748733,201.954922,52.841981,DR7Q,,,,,0.0,,,,,,,,
223,2432,SDSSJ133419.73+523613.7,203.582228,52.603816,133419.73+523613.7,203.582229614258,52.603816986084,1.66120004653931,1048579.0,1.0,1,-27.2384217037278,0.0,0.0,0.0,-26.7751022785808,-1.0,46.1447445438318,46.1423764573794,0.0050058104198851,203.582228,52.603816,DR7Q,0.9,0.1,0.9,0.1,0.0,,,,,,,,
228,2435,SDSSJ135508.33+514039.5,208.784738,51.677644,135508.33+514039.5,208.784744262695,51.6776428222656,1.73860001564026,2.0,1.0,1,-26.4881401701833,0.0,0.0,0.0,-27.0505487537904,-1.0,45.8504855661965,46.008562041593294,0.0146090334087912,208.784738,51.677644,DR7Q,,,,,0.0,,,,,,,,
